"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"161","Completed Repair Income Records (","","partial","Completed Repair Records","src/components/finance/ShopFinancePlModule.tsx:643"
"162","Completed Repairs","","partial","Completed","src/components/dashboard/TechnicianLeaderboardView.tsx:56"
"163","Completed Repairs & Post-Delivery Customer Follow-Ups","","partial","Completed Post Delivery","src/components/followup/CompletedDeviceFollowUpModule.tsx:256"
"164","Configure the saved defaults used by every Device Intake Print Voucher. Changes apply after you save all settings.","","partial","Configure the saved defaults used by every Intake s apply after you save all settings","src/components/settings/SystemManagementSettingsModule.tsx:2915"
"165","Configured in Settings → Payment Methods","","partial","Configured in s","src/components/pos/PosInvoicingModule.tsx:800"
"166","Confirm & Authorize","","partial","Authorize","src/components/portal/CustomerFacingWebPortal.tsx:1005"
"167","Confirm Checkout & Move to Taken Out","","partial","Move to","src/components/pipeline/StatusPipelineView.tsx:1166"
"168","Confirm Payment","","partial","Payment","src/components/pos/PosInvoicingModule.tsx:1187"
"169","Confirm QA Pass","","partial","Pass","src/components/qa/QualityAssuranceModule.tsx:364"
"170","Confirm QA pass and mark device ready","","partial","pass and mark device ready","src/components/qa/QualityAssuranceModule.tsx:360"
"171","Confirm stock changes","","partial","stock changes","src/components/inventory/InventoryManagementModule.tsx:2502"
"172","Connect a mainstream model or any OpenAI-compatible endpoint. Local Analysis works without an API key.","","partial","Connect a mainstream model or any compatible endpoint Local Analysis works without an key","src/components/settings/SystemManagementSettingsModule.tsx:909"
"173","Connected Store Branding","","partial","Store Branding","src/components/settings/SystemManagementSettingsModule.tsx:2676"
"174","Contact Email","","partial","Contact","src/components/inventory/InventoryManagementModule.tsx:2402; src/components/suppliers/SupplierRmaModule.tsx:548; src/components/suppliers/SupplierRmaModule.tsx:641"
"175","Contact Information","","partial","Contact rmation","src/components/settings/SystemManagementSettingsModule.tsx:3394"
"176","Copied Estimate Text to Clipboard!","","partial","Copied Text to Clipboard","src/components/prices/QuickPriceCalculatorModal.tsx:634"
"177","Copy Burmese Text","","partial","Burmese Text","src/components/common/CustomerNotificationModal.tsx:250"
"178","Copy Complete Audit Trail Text","","partial","Complete Audit Trail Text","src/components/common/WorkOrderStatusTimeline.tsx:313"
"179","Copy Customer Warranty Courtesy SMS/Notice","","partial","Warranty Courtesy tice","src/components/dashboard/DashboardOverview.tsx:2002"
"180","Copy Estimate Text (WhatsApp & Email)","","partial","Text","src/components/prices/QuickPriceCalculatorModal.tsx:639"
"181","Copy from","","partial","from","src/components/prices/PriceSettingsModal.tsx:652"
"182","Copy Number","","partial","Number","src/components/pos/PosInvoicingModule.tsx:1031"
"183","Copy Prices From (Optional)","","partial","s From Optional","src/components/prices/PriceSettingsModal.tsx:643"
"184","Copy response","","partial","response","src/components/ai/AiDiagnosticAssistantModal.tsx:502; src/components/ai/AiDiagnosticAssistantModal.tsx:502"
"185","Cost Asset:","","partial","Asset","src/components/inventory/InventoryManagementModule.tsx:1072"
"186","Create Intake Ticket","","partial","Intake Ticket","src/components/prices/PriceCatalogModule.tsx:844"
"187","Create simple names for physical stock parts, then define stock alerts and vendor rules.","","partial","simple names for physical stock parts then define alerts and vendor rules","src/components/settings/SystemManagementSettingsModule.tsx:2372"
